negative;negative;unfortunately, not quite.
negative;positive;a masked killer caught the family, only the little daughter seems to be hidden somewhere and so arkin decides to help her.
positive;positive;above all, however, stand omar sharif, whom i consider one of the best actor of his time.
negative;positive;back to the weeds.
negative;negative;the fact that the film ha rightly not received a gold boy is due to the large part of it, in my opinion, to the script from whichever source is also oscarnominated.
negative;positive;however, the alien themselves are not mentioned in the film.
positive;positive;"""man of steel"" is a pure action spectacle."
positive;positive;"a far a the film music of thomas newman is concerned, he return in ""skyfall"" rather back to the root of 007 and thus put u in the classic bond feeling."
positive;positive;the first 2\3thirds of the film are absolute world class, creating an absolutely captivating tension.
positive;positive;this is because the film is based on true events.
positive;positive;just perfect i find the movie totally good!!
positive;positive;"in order to get his son ""home"", thomas set out for france."
negative;negative;hello, we also watched the movie because it wa greatly hyped.
negative;negative;bravely, bibi enters a a substitute player, naturally score a few point and - of course - get older, because a girl can certainly only make point if she ha hexed.
negative;positive;in general, the whole movie is full of bombast action and breathtaking special effecs that really doesn't have to hide from the competition.
positive;positive;in combination with the recorded comment of various radio and tv commentators, the viewer creates a real racing feeling, even if these scene sometimes seem a little unintelligible.
negative;negative;and the story wa more than laughable.
negative;positive;the light from the ice surface wa directed towards the passage running towards them, where nancy kerrigan wept bitterly.
positive;positive;the criticism is very appropriate (even if it is very spoiling!
negative;positive;i wa incredibly impressed by that.
negative;positive;the only thing left is q who want to bring humanity back to justice:-) this film is the proof that star trek is better than star wars!
negative;positive;that's why there wa plenty of room for action, and a robert downey jr.
negative;negative;sigourney weaver play her character a usual super, but unfortunately he ha hardly anything to do with the replay, which you could only admire after the first 3 parts.
positive;positive;an absolute firework of special effects.
positive;positive;of course also an absolutely predictable love story must not be missing.
negative;negative;furthermore, the end is disheartened on the whole line: everything suddenly take a good end – naturally completely surprising – that no one could have guessed...
negative;positive;perfectly flummed and staged re-launch of the series, in which even the humor in the just right dose is not missing - we can look forward to more!
negative;positive;music only occurs when someone in the film turn on the radio or the turntable.
positive;positive;in the whole a very good comedy, which you should definitely look at.
positive;negative;if two more film are filmed, that won't be enough.
positive;negative;to squeeze it out in school notes: it is a if you had first written a 2, then a 4 and finally also a 6!
negative;positive;but who fan and a a small child already could inspire for the two monkeys^^ will be completely satisfied!
negative;negative;the film is by no mean weak, but not more than average.
negative;positive;nevertheless, i had to grin almost continuously about this genius, especially charly drew me into his spell.
negative;positive;==references====external links==
negative;positive;however, this topic made sense in the endeavor of bond film according to the possibility to offer up-to-date time.
positive;positive;the vocal inlay are excellent, stinging through a co-reisende staging.
positive;positive;even if praunheim a in many of his other film is also present here a a protagonist, so in the course of the film this becomes increasingly incidental.
positive;positive;absolute highlight of course the final showdown against the devil himself.
positive;positive;both film have their reason for being, a the opening of the story conveys a completely different feeling.
negative;negative;"only a few ""highlights"" (i can only call them because of the fact that the rest of the film is just fad) such a marcellus's saying (""i'm working on you with a solder lamp"") or butches' saying (""i'm an american, there name don't have a deeper sense"") save the film for me personally from the total crash."
positive;positive;the darker atmosphere and especially the absolutely grandiose performance of the two young actors.
negative;positive;ignorants!
negative;positive;unbeliever have no bible knowledge.
negative;negative;unfortunately, it doesn't play in the cinema anymore, but it's really great!
positive;negative;the end also very good!
negative;negative;2.
negative;positive;sure, he's not everybody's business, but anyone who stand on movie like the wedding crasher or the classic fear and loathing in la vega will certainly be laughing at this movie.
positive;negative;even i a a woman must confess that the men in the film are kept very small.
negative;positive;e.g. snapes reminder or harry and dumbledore in the entrance hall to the beyond... for that the film took time, and that wa a very big plus!
negative;negative;i mean, seymour didn't even get the chance to show off.
positive;negative;"""the sensitive chris would break up at the break-up and yet he can't help but continue to work for mccauley and indulge in gambling addiction."""
positive;negative;film-noirish to hitchcockmã1⁄4g, worth a look, though none of the very big bringers from his time.
negative;positive;it's not a good idea.
negative;positive;also they were not so much convinced by the still unknown al pacino.
positive;positive;the film is shot at a remarkable pace.
positive;negative;even though the actor performance wa partly solid, the film wa not saved.
negative;negative;the idea is also good looking.
negative;negative;the hint to the end, what could have happened to jimmy, throw then any message, which the whole movie long before long breathed wa propagated again over the pile.
negative;negative;all in all, a tedious, boring movie (and we had not expected any action or similar).
positive;negative;in my opinion, partly yes, but there's still air up there.
positive;positive;but with harry, i'm out of my mind.
negative;negative;that, in my opinion, is the worst work of tim burton.
negative;negative;the movie is soooo bad.
positive;positive;big movie theater what awaits you here!
positive;positive;thanks peter!
negative;positive;fan should not miss the edit ulysses cut.
positive;positive;at the same time, burton, however, in his own way would like to bring old-fashioned horrofilms and brings gothic, loud and bloody horror to the screen, especially in the opening scene a well a in the apocalyptic showdown.
negative;positive;at @andreas now calm down again, okay?!
negative;negative;5.
negative;negative;"in addition, it doesn't seem so overloaded stupid and cheap a with ""batman v superman""."
positive;positive;after jurassic world i try again a a film critic.
negative;positive;thus, the father figure would be much more than a disguised alien - the incarnation of a being that ha access to all the thought and idea that ever existed in the universe (or, even more metaphysical: a being that, a a kind of world spirit, encapsulates all these thought and ideas).
positive;positive;again and again indication appear, which he cannot interpret.
negative;negative;"both of them don't work together and the result is such a bumpy screenplay disaster a in the last ""007-films""."
negative;positive;this is basically quite simple (at least nothing really new), but delayed and somewhat chaotically told, so that the spectator is kept in a spell.
negative;positive;this movie is just class he is the first in the series that is always thirsty and doe not try to make everything a child-friendly a possible why he is one of the best of the series
positive;positive;i think this film is awesome because it speaks out many thing he everyone ha in himself, it is very strongly inspired by the manga and the anime, which is rare in film adaptation of the kind.
positive;positive;i also love problem films, film noir and similar, but: this is loose, airy, casual.
positive;positive;one of the best film by takashi miike not a pure action film but rather an action drama: a worth seeing film that hollywood can never shoot
negative;negative;the film is very calm, but then increase until it loses tension again after some time.
positive;negative;i'll stay with the books.
negative;positive;leave this movie where it is!
positive;positive;and the new death slow is the best action movie i've seen in the last few years.
positive;positive;great!
negative;negative;this is now a big negative point.
negative;negative;"the teacher's dramatic gesture and final rhetoric just before the end doe not fit in with the much too short and much to ""simple"" development."
negative;positive;there is not too much action but also not too little, everything very balanced.
positive;negative;side-by-side.
positive;negative;also temporary impotence with superheroes is thematized, here should be shown u that the man is deeply controlled by his vulnerable psyche and under circumstance a latex-kostã1⁄4m with action-prelude to increase his manhood necessary.
negative;negative;"so that one get to hear then in the hanebüchenden finale also such completely rã¶tselhaft attribute like ""family"" and ""friends"" to hear."
positive;positive;a in almost every of burton's productions, the environment (as well a the actor through their specially designed exterior) seems almost surreal and thus very mysterious.
positive;positive;the film is continuously exciting and provides with a light breeze healthy humor for some laughs.
negative;positive;unfortunately, i noticed some time negatively because the first meeting at the airport is simply overplayed although i can't imagine the godzilla would let this escape so easily or the mato wa out on the same.
negative;positive;if then one like him is suddenly nominated for a golden globe, one listens already.
positive;positive;the staging is captivatingly precise, the film over 2 hour not only exciting, but also emotionally gripping.
positive;positive;he show what war make of people and how it change them.
positive;negative;even if the acting performance of the two main character is still so good, the film itself is not.
negative;negative;the charm of a terence hill a well a some interesting side character let me watch the movie completely and made the experience more than lost time.
positive;negative;"in this film, 80% of the film took the said ""starting phase""."
positive;positive;it's worth seeing.
negative;positive;i hope for more parts.
negative;positive;even 24 hour after looking, i think back again and again.
positive;positive;"star war would not be star war without ""the return of the jedi knights"" and all three part are, a it were, the best film of all time."
negative;negative;you can't be serious.
negative;negative;elysium on the other hand: cliché, banality, unexciting.
positive;positive;the picture are impressive and very meaningful, the star convince in their role a four drug-dependent individuals, who go towards their demise.
negative;negative;density plot, suspense, action and an outstanding lead actor.
negative;negative;the film play in the year 2035, the protagonist are already in the middle 30, but besides smith often doe not want any clue what happened in the 2000s, very unrealistic!
positive;negative;both very original and funny.
negative;positive;hello i can not sit differently: the film is a classic.
negative;negative;so, if i want a well-staged chase, i'm looking at the classic like bullitt, ronin and also taxi 1 from me, but this is really just bad.
negative;negative;"in the run-up, i read thing like ""virtual masterpiece"" or ""a 3d experience"" and thought to myself the film is certainly not that bad."
positive;positive;funny remake with a cool cast and a lot of joke!
positive;positive;my tip: go there, look forward to stubborn winegrowers who love their land and their vines.
negative;positive;when i suddenly realized that josh hartnett wa doing something together with bruce willis and wa on a merciless revenge campaign, i wa more than convinced of hartnett's portrayal.
negative;positive;"after reading the reviews, i'm surprised which polarization spotial is apparently ""sin city""."
negative;positive;but up to this point the movie wa easier only great, and know to inspire with many stromberg typical laughs!
positive;negative;of course, the image of the male role and female role (unfortunately) is almost still so everywhere, but a slightly different view on it would have been already good.
negative;positive;yes, the story press on the trance - but in a positive sense.
positive;positive;"two further change are also based on taste criticism: on the one hand, the new â€"" better â€"" special effects."
positive;positive;the two convince a enemies, partner-reciprocal will but also a first sign of sympathy between the figure flash up.
positive;positive;especially jonathan rhys meyers and scarlett johanson!
negative;positive;doesn't matter there otherwise heart, feel ect.
positive;negative;i wanted a little brainless action and got what i expected.
positive;positive;you're always reminded that it's fiction.
negative;negative;nothing!
positive;positive;overall, i left the cinema hall in spite of higher expectation satisfied and with desire for more.
negative;positive;the film strengthens an incredible mood, a bloody freedom, between danger and omnipotence fantasies, a if de palma had filmed gta in the eighty - only without the open end, but with the logical consequence, the insane scream, which echo so long, until out of the mouth no more words, but blood.
negative;negative;put everything there that run wrong in the modern medium world.
negative;positive;"about ""psycho"" everything ha already been said what need to be said."
negative;negative;still one lives.. in my opinion would then perhaps someone noticed that it is only a bad game..would only be logical or?
positive;positive;story, humor, actor, logic, red thread etc. for me a milestone in film history and probably the best movie i've seen so far!
positive;positive;the ability to immerse yourself in a fantastic story and to experience a wonderful fairy tale...!
positive;positive;the film confirms in all respect that also the foreign iridian can develop further and adapt to the present time.
negative;positive;step up wa a very nice drama in which a street boy with the prima ballerina becomes a super pair.
positive;positive;"with ""following"" christopher nolan ha succeeded in a really excellent noir thriller, which radiates a very special atmosphere precisely because of it low-budget production."
positive;positive;if you're a tmnt fan.
negative;positive;and it wa breathtaking.
positive;positive;one of the saddest.
negative;negative;hardly tension, extremely stupid character and an incredible story
negative;negative;the dialogue were unfortunately often flat and unconnected, a few of them unexpectedly clever.
negative;negative;even a few more into the air-scattered gravestone then the whole thing would be a little more exciting.
positive;positive;a (not necessarily new) but very well implemented story, filled with great actors.
negative;negative;a collection of uninteresting person (type of bull stallion), entangled in a spun constructed case, which also doe not bring much.
positive;positive;i have to say that the german/austrian cinema (weingartner is more or le rich) can surprise me again and again.
positive;positive;every single film a small masterpiece - connected only by the theme, the love - and the city that give the film the title.
negative;positive;"conclusion: ""hostiles"" is hard, sad, extremely tiresome, calm, unsparing and leaf one still before the credits."
positive;negative;actors' performance are solid, no outlier up or down.
positive;positive;it is to be said that it is perhaps the best star war part that life through the humanity of the individual character, the old flair and the new story about power.
positive;positive;the bottom line is the thing from another world is a creepy, exciting, bloody and action-packed splatter shocker old school that let you freeze the blood in your veins.
negative;positive;the jackie chan movie have never had a great or deep story â€ , this one neither.
positive;positive;beautiful that there are still such film with such cast!
negative;negative;too often and never well filmed.
positive;positive;even if the film is technically not outstanding, it ha interesting dialogue & brings you to think.
negative;positive;especially the point, one know how it really was, but if one imago the situation from the point of view of an inhabitant, wouldn't one have exactly these prejudices?
positive;positive;good call!
negative;positive;what wa very beautiful wa where the bright coffin wa opened and the clearing had such a beautiful light.
negative;positive;"but one thing clearly show ""the wild bunch"": violence fascinates above all else."
negative;positive;atmosphã¤re: here the film score on the whole line!
negative;positive;i don't want any of you ever to come into such a situation and sell your soul.
negative;positive;the opening scenario must swallow the audience like sandra's pills.
positive;positive;"in any case, this film is a very successful spectacle, which not only make up the perfected visual style, but also that this story is exciting, creative and very nice to harmonize with the matching black/white, so that a very horny mood arises and maintains a certain kind of ""sin city"", but there is a bit more comic in it, which should not have a negative effect on this movie or even on ""sin city""."
positive;positive;i've seen the film in new zealand in english.
negative;negative;but for what also, the figure are so and so only empty sleeves.
negative;positive;because what we see today a a succession of high-grade clichés wa born here!
positive;positive;while the machine around them reproduce the documents, they have something unique.
negative;positive;the story is very thin.
negative;positive;"""into the abyss"" is more appropriate."
negative;negative;the action go through just a much though far too little of it is shown.
negative;positive;there are no real lengths, the soundtrack is fantastic, you will simply 111 minute really well entertained.
negative;positive;on the other hand, a version with a dissolving twist might be too classic and not a artful.
positive;positive;in the leading role nicolas cage, very well done (!
positive;positive;conclusion: really worth seeing funny comedy
negative;positive;the light, loose staging a well a the naturally sloppily (but not unlevelless) theme worry that one and a half hour a in flight pas and you also have to laugh about the more often (with the scene in the kinsey family sitting at dinner and kinsey discussing detailed sex topic with woman and child is so terrible that you want to sink under the table).
positive;positive;the night shot are very exciting, whereby it is mainly the own expectation attitude, which allows one to freeze in the cinema seat.
negative;negative;in the end, he's the hero.
positive;negative;the good old game which the camera doe not show, you don't see / hear either!
negative;negative;unfortunately, the film is not particularly convincing in it style.
positive;positive;what emerges on the screen are dream fantasies, vision and illusions.
positive;positive;you should definitely look at it.
negative;negative;tomb raider from roar uthaug is trying to make lara croft a normal young woman and i have to say that i find this completely bland in a jump-and-run action cracker.
negative;positive;i have the film and can judge it better for me.
negative;negative;==references====external links==
positive;positive;"i saw ""looking for eric"" yesterday in the sneak and can say that the film-starts-critic ha captured this film very well."
negative;positive;the actor completely convince.
negative;negative;there are quite some good gag and allusions, but above all there is lack of tension, which i still felt in the preview films: never the preparation of the robbery seriously in danger, every problem is quickly solved, serious antagonist are missing.
positive;positive;of course, a special, filmic emulation effort is provided for this.
positive;positive;"i also think that word of mouth ultimately is much more positive than the ""official"" criticism did at the beginning."
negative;positive;the 'murder' who are actually 'suicides' are anything but ingenuity gorehappen.
negative;negative;"at friday night light there wa only one question at the end, wa the \""based on a true event\"" at the beginning the legitimation for an unspectacular movie?"
positive;positive;of horror film there is a wide range.
negative;positive;episode 1 wa great and episode 3 wa great.
negative;negative;so we have a lot of clichés in action, adventure and romance.
negative;negative;"especially creepy were mainly not the ""shock"" moments, but the logic holes."
negative;positive;why wasn't matt damon arrested at the funeral?!
negative;positive;overall, i am more than satisfied with the result, even if it might not be so.
positive;positive;so the two of them set out to the far north and it's all different than expected.
positive;positive;the actor are convincing in their role, something that in such a film necessarily belongs to it and is important.
negative;negative;known actor in a gangster comedy where the certain something is missing.
positive;positive;"anyone who is otherwise afraid to be tormented with the depiction of mass murder a in ""blood diamond"", is hereby reassured."
negative;positive;a father who absolutely want to fight is like a lion for his children, and it get tough because dad ha nothing else to sell.
positive;positive;of course, the african culture is interwoven in the film.
positive;negative;blöd, a i find it, is then also still, if mann this film style still mixed with high-gloss shots, which atmospheric could not be more atmospheric.
positive;positive;the representation of the picture are also a class for itself.
negative;positive;normally, i'm so cold, but i'm not in the movie.
positive;positive;"a very good film, which show simply the real reality in the largest camorra quarter of naples; there reign the highest drug use worldwide, all drug addict from the region come there by bus!"
negative;positive;and here, too, there have been great fluctuations.
negative;positive;only the end didn't quite promise me.
negative;positive;"just in advance : michael bay told me nothing- ""the rock"" (pension solidarity surcharge for mr. connery otherwise dull command soldier bullshit) and ""armageddon"" (voluntarily overlaid, unrealistic asteroid hero saga) whereas already."
negative;positive;large breather break are not allowed, a the tension from the evil beginning to the bitter end is held extremely high.
positive;positive;i'm sure tim burton's film aren't everybody's case, but i really liked dark shadows.
positive;positive;but with the bride - ingenious.
positive;positive;sound complicated, so it is in some scenes.
positive;positive;generally, the bridge function between part 1 and 3 wa exemplary.
negative;positive;i have to admit, i guessed a little bit in that direction, but until the penny fell right, it took a while.
positive;positive;also the cast with jake gyllenhall is very suitable in my opinion anch.
negative;negative;however, there are only two of them in the whole film and thus are far from enough to roam around the rudder to create several wow moments.
positive;positive;and tilda swinton - how did you get old, tilda?
negative;positive;only the claustrophobia in such a hollow system is brought over well.
negative;positive;!it's just tol!!!!
positive;negative;if you can look, you don't have to.
negative;positive;or the intersequences during the occlusal lesson at snape.
negative;positive;i wonder what all the critic have ridden so badly.
negative;positive;i just think she's awesome.
negative;positive;style break in which the journalist robert graysmith present a an identification figure.
positive;positive;the driver is a very good movie, because the actor have been carefully selected.
positive;positive;there is absolutely nothing wrong with camera guidance and sound.
negative;negative;e.g.: little heinrich, (the name is already somehow a prejudice) who with hitler's gruesome mask through the area.
negative;positive;the movie is just awesome!
positive;positive;the outrage of mazursky is verbally funny, in english a well a in german, whether this is funny or not against the background of the missed chance to get his brother back!
negative;positive;and a far a the legendary shooting is concerned, i must say that i have probably never seen anything better staged!
negative;positive;gary king life in the past, he can't let go.
negative;positive;it's a pure entertainment movie for not even a whole 90 minutes.
negative;negative;however, he had never done everything, so far he wa only responsible for the beautiful baiser hood camera technology, but here we want to try his ability a a baker/director.
positive;positive;simply brilliant and colossal.
