prediction;gold;sentence
positive;positive;america is on top right!!
positive;positive;director griffin dunne ha done a great job assembling this film that ha several character and several story line that blend so smoothly and seamlessly.
positive;negative;well he's a nazi and deserves to die the cruelest death possible, right?
positive;positive;it wa a totally unexpected delight.
negative;negative;"shout of ""kill him, kane!"""
negative;positive;i wa living in oz at time and through a friend wa looking after one of the house location through filming....
negative;positive;this might be(except for invasion of the body snatchers) siegel's best film.
positive;positive;"i am sure it will one day take it rightful place with such great show a ""the fantastiks"", and ""waiting for godot."""
negative;negative;major hypocrisy #2: the nazi make a propaganda movie about a german sniper who kill nearly 300 american soldiers.
negative;negative;the fact that mcgivers switch back to kirk's side doesn't ameliorate the illogic in any way.
negative;negative;it ha more of a comedy tone to it a well which hinders it greatly, if they really felt the need to make a sequel they should have made it an r rated movie that had some nudity and gore in it.
negative;negative;it look like the print wa recorded off a television that wasn't getting the best reception.
negative;negative;a lone hero left alone in a ship (building, airplane, whatever) wreaking havoc on clueless bad guy with big automatic weapons.
negative;positive;how about when gus' sleeve fly back onto his arm in an act of cable-access special effect quality mastercraft?
positive;positive;aishwarya wa easily at her best.
positive;negative;yes, carol, i do, your agent does, and please for the love of all that is decent and holy... go away and stop degrading yourself like this!
positive;positive;"he rejected the ""training"" of the karate club of the time focusing on an intense no hold form of training."
positive;positive;what is the significance of the rotting corpse at sierra bonita?
negative;negative;formulaic, to say the least.
negative;negative;not great, but it's better than anything norris did in the 90s.
positive;positive;i know i've done it-and so have many female i know.
positive;negative;nothing unexpected happens.
positive;positive;the story-telling is great.
negative;negative;"is there anybody there?"""
positive;negative;rudolph maté's film from 1950 is given a revamp for the 80's, dexter cornell(dennis quaid) is a university lecturer who used to have a successful writing career, but thats now gone down the tube along with his marriage.
positive;positive;the first half of this fun flick show quinn being trained and indoctrinated.
positive;negative;in fact, only the viking (wizard excepted) are funny.
positive;positive;this production wa top notch with the original music score, and the actor put their heart into it(you can tell).
negative;positive;but thomas' friend arrive to help save the day.
negative;negative;but pretty scenery and pretty actor cannot save this film.
negative;negative;"waste it on better movies."""
positive;positive;the nuanced change and embellishment on the original story are subtle, clever, and make the film cinematically more dynamic.
positive;positive;but i can tell you it wa good and i did laugh, not a much a i had hoped, but at least williams is back in the right direction.
negative;positive;but slaughter is ticked and no one is sure why this hit wa happened--however, slaughter is going to get to the bottom of it!
negative;negative;i guess the movie wa set in new orleans, but aside from the afore mentioned accent and a couple bland city shot the movie could have been in anytown, usa.my recommendation: don't bother!
