prediction;gold;sentence
positive;negative;"when we got to the room we thought \""hey, cool!"
negative;negative;"there are plenty of other better place to stay in downtown san diego."""
negative;negative;"a one of the hotel worker stated, \""i wouldn't stay here for anything.\"" i suggest you take that advice."""
negative;positive;we booked a double (two double beds) and it wa huge by nyc standards!
negative;positive;the bed wa also about 6 inch from the glass sliding door!
negative;negative;i switched away my first room because there wa a large gap around the door (perfect size for a crowbar) enabling me to see the freeway through the door.
negative;positive;room wa nice, breakfast wa a little curious a they have an einstein bagel in the hotel, but good all the same.
positive;positive;and we had a wonderful time.
negative;negative;we also left the television on in the front room and left the light on when we went out at night to give the impression that someone wa in the room.
negative;positive;the hotel is approximately 4 block from the jefferson memorial.
negative;positive;you can get coffee and muffin in the office in the morning, which were pretty good.
negative;positive;"there are not enough towel hanger in our bathroom."""
negative;negative;however on ariving at the hotel exhausted after a 6 hour flight we were told the hotel had double booked by 30 rooms.
positive;negative;"""we booked this hotel through a travel agent and because of the previous reviews, we thought it would be very good."
negative;positive;"i would have left if i had been forced to stay in club quarters!"""
negative;negative;please understand that most lax hotel use a common shuttle.
negative;positive;go, trust me you'll enjoy.
positive;positive;"it\u2019s one thing to get the aesthetic quality covered but it\u2019s definitely another to combine it perfectly w/ exceptional service.\n keep up the good work and looking forward for another hassle free stay at h.k once again!"""
negative;positive;frank, e un empleado muy activo que ofrece informaci\u00f3n sobre todo lo que necesites, como billetes para broadway, autobus tur\u00edsticos, transporte al aeropuerto, etc.
negative;negative;one wa out of service the entire time we were there.
positive;positive;the concierge is helpful and they have a restraunt and bar both onsite.
positive;positive;qualit\u00e9 de service irr\u00e9prochable.
negative;negative;upon check-out, i went to the gentleman who had hailed a taxi for me all week and requested one.
positive;positive;"""a very charming hotel at 44th street between 5th and 6th avenue."
negative;positive;the couch wa very comfortable for me.
positive;positive;and the memphis zoo is rated a the best in the country, but unfortunately we did not have time to visit the zoo.
negative;positive;"i would rate it excellent if only the check-in wasn't so frustrating."""
negative;positive;the room were not very big but i think that is typical for new york.
negative;positive;like a room that could not accommodate bedside tables, and limited space in the bathroom so room robe were available only upon request.
negative;negative;the room didn't look very clean but the bed wa good and appeared clean.
positive;positive;the staff is also super friendly and helpful and they really make you feel at home.
negative;positive;tv could be better: a bit cumbersome to use and the choice of non-us channel is limited (no bbc, no german, no french).
negative;positive;"all of the staff member we encountered were all very friendly and welcoming which made the stay even more enjoyable."""
negative;positive;this wa great for u a we decided not to drive on this trip.\nthey also gave u printed walking direction to local stores.
negative;positive;you can reach your bedside table while sitting on the toilet.
positive;positive;"""\u0399 stayed in (cold) january with my wife for 8 night at the hotel surrey."
negative;positive;i had everything i needed in my kitchenette and bath.
positive;positive;"i must say though, the marina marriott's organization and engineering of this very large hotel is amazing."""
negative;positive;well, not horrible, but bad nonetheless.
positive;positive;"""the bulfinch in boston, ma, usa is een smaakvol ingericht en comfortabel hotel."
negative;positive;only other thing i didnt like wa the fact that they blasted the ac and the only way to warm the room up wa by turning on the heat.
positive;positive;lot of pillows.
negative;negative;we had to ask the front desk 2 time why they didn't care or even tried to recover it wasn't until the bride called the manager that we got what we were promised but only two for the one day.
negative;positive;this is where i am staying for now on!
positive;negative;we had no problem at check-in, but when we went to our room we had been given a small room with two double beds--not the suite that we had reserved.
negative;negative;i only noticed it when the a/c wa off.
positive;positive;a/v service is great and even check in with you each morning to make sure your need have not changed.
negative;negative;about the time we got settled in and wa going out for dinner, we checked the door from the hallway after closing it and it would not lock.
